Company Name,Job Title,Role,Salaries Reported,Location,Salary
Wells Fargo,Data Analyst,Specialist,3,Bangalore,"₹4,41,480/yr"
Qualcomm,Machine Learning Engineer,Specialist,3,Hyderabad,"₹13,62,714/yr"
ICE Data Services,Data Analyst,Specialist,2,Hyderabad,"₹4,30,475/yr"
Freshworks,Data Scientist,Specialist,2,Mumbai,"₹4,94,353/yr"
Gojek,Data Engineer,Specialist,2,Bangalore,"₹19,74,888/yr"
Gallagher,Data Analyst,Specialist,4,Bangalore,"₹2,90,904/yr"
Unify,Data Analyst,Specialist,1,Hyderabad,"₹4,43,472/yr"
Yagna iQ,Data Scientist,Specialist,1,Pune,"₹2,34,060/yr"
NovelSynth Soft Solutions,Data Scientist,Specialist,2,Bangalore,"₹2,45,580/yr"
Oracle,Machine Learning Engineer,Specialist,1,Mumbai,"₹16,12,324/yr"
GoodWorkLabs Services,Data Scientist,Specialist,1,Bangalore,"₹11,24,063/yr"
Grroom,Machine Learning Engineer,Manager,1,Mumbai,"₹12,66,653/yr"
Amazon,Machine Learning Engineer,Manager,1,Hyderabad,"₹8,91,704/yr"
Solugenix Corporation,Machine Learning Engineer,Specialist,1,Hyderabad,"₹2,79,672/yr"
Data Gyan,Data Analyst,Specialist,3,Bangalore,"₹1,80,876/yr"
Data Semantics,Data Scientist,Specialist,3,Bangalore,"₹3,62,209/yr"
Amazon,Machine Learning Associate,Specialist,6,Hyderabad,"₹2,95,114/yr"
Meeami Technologies,Machine Learning Engineer,Specialist,1,Hyderabad,"₹18,64,748/yr"
IBM,Data Scientist,Specialist,3,Mumbai,"₹11,93,120/yr"
Adani Group,Data Scientist,Specialist,1,Mumbai,"₹95,700/yr"
Novozymes,Data Scientist,Specialist,1,Bangalore,"₹18,41,987/yr"
Wall & Associates,Data Engineer,Specialist,1,Hyderabad,"₹6,50,484/yr"
Capital One,Data Engineer,Specialist,6,Bangalore,"₹16,48,787/yr"
CAET Project Management Consultants,Data Scientist,Specialist,1,Bangalore,"₹10,00,000/yr"
Mesh (CA),Machine Learning Engineer,Specialist,2,New Delhi,"₹12,10,452/yr"
Google,Machine Learning Engineer,Manager,1,New Delhi,"₹37,42,419/yr"
Bounce,Data Scientist,Specialist,1,Bangalore,"₹18,55,822/yr"
EY,Data Engineer,Specialist,2,Bangalore,"₹6,09,565/yr"
Pratilipi,Data Scientist,Specialist,1,Bangalore,"₹34,47,524/yr"
Tata Research Development and Design Centre,Data Scientist,Specialist,1,Pune,"₹12,67,472/yr"
Procter & Gamble,Data Engineer,Specialist,1,Hyderabad,"₹25,76,614/yr"
RentoMojo,Data Analyst,Specialist,3,Bangalore,"₹5,77,021/yr"
Oxigen,Data Engineer,Specialist,1,Bangalore,"₹3,82,351/yr"
Mu Sigma,Data Engineer,Specialist,1,Hyderabad,"₹10,04,884/yr"
Santronix,Data Engineer,Specialist,1,Pune,"₹1,80,876/yr"
udaan.com,Data Analyst,Specialist,8,Bangalore,"₹4,60,092/yr"
Kabbage,Data Analyst,Specialist,6,Bangalore,"₹8,82,956/yr"
Motorola Solutions,Machine Learning Engineer,Specialist,1,Bangalore,"₹12,00,000/yr"
Pivotchain Solutions,Data Scientist,Specialist,1,Pune,"₹6,02,937/yr"
Wipro Technologies,Data Scientist,Specialist,8,Bangalore,"₹6,58,109/yr"
Mass Technologies,Data Analyst,Specialist,1,Pune,"₹3,60,000/yr"
Adobe,Data Scientist,Specialist,1,Bangalore,"₹12,16,776/yr"
Indium Software,Data Engineer,Specialist,1,Hyderabad,"₹3,40,008/yr"
Verificient Technologies,Data Analyst,Specialist,3,New Delhi,"₹1,50,180/yr"
Birlasoft,Data Engineer,Specialist,2,Pune,"₹20,02,418/yr"
Lincode,Data Scientist,Specialist,1,Bangalore,"₹6,08,387/yr"
Hakkasan Group,Data Scientist,Manager,1,Bangalore,"₹20,25,760/yr"
Cognizant,Data Scientist,Specialist,1,Hyderabad,"₹18,00,000/yr"
EMPLOYERS,Data Analyst,Specialist,4,Bangalore,"₹3,16,821/yr"
Multiplier Solutions,Data Analyst,Specialist,1,Hyderabad,"₹2,81,316/yr"
Cvent,Data Analyst,Specialist,3,New Delhi,"₹7,60,403/yr"
NatWest Group,Data Engineer,Specialist,4,New Delhi,"₹31,41,490/yr"
Xento Systems,Senior Data Scientist,Specialist,1,Pune,"₹11,25,483/yr"
HERE Technologies,Data Scientist,Specialist,2,Mumbai,"₹5,03,280/yr"
Veoneer,Machine Learning Engineer,Specialist,1,Bangalore,"₹4,36,144/yr"
DXC Technology,Data Engineer,Specialist,1,Hyderabad,"₹13,17,316/yr"
Lumen,Data Engineer,Specialist,6,Bangalore,"₹6,94,460/yr"
SG Analytics,Data Scientist,Specialist,7,Pune,"₹8,16,946/yr"
First Student,Data Scientist,Specialist,4,New Delhi,"₹6,59,508/yr"
American Express,Machine Learning Engineer,Specialist,1,New Delhi,"₹19,00,443/yr"
Amar Singh Chawal Wala,Data Scientist,Specialist,1,Bangalore,"₹16,93,803/yr"
Sakon,Data Analyst,Specialist,2,Pune,"₹2,79,036/yr"
Mphasis,Data Analyst,Manager,1,Mumbai,"₹13,80,508/yr"
Accenture,Data Scientist,Manager,2,Mumbai,"₹22,27,049/yr"
EdGe Networks,Data Scientist,Manager,1,Bangalore,"₹59,06,368/yr"
BankBazaar,Data Scientist,Specialist,1,Bangalore,"₹10,22,786/yr"
Atos-Syntel,Data Analyst,Specialist,4,Mumbai,"₹3,17,183/yr"
Octro,Data Scientist,Manager,1,New Delhi,"₹30,45,880/yr"
Institute of Engineering & Management,Data Scientist,Specialist,1,Bangalore,"₹17,08,322/yr"
,Machine Learning Engineer/Data Scientist,Specialist,1,Pune,"₹6,77,580/yr"
Dayananda Sagar College of Engineering,Data Scientist,Specialist,1,Bangalore,"₹6,18,607/yr"
Toppr.com,Data Scientist,Specialist,1,Mumbai,"₹4,11,768/yr"
Automation Anywhere,Data Scientist,Specialist,1,Bangalore,"₹32,00,000/yr"
PokerStars,Data Analyst,Specialist,1,Hyderabad,"₹8,59,906/yr"
Unilog Content Solutions,Data Analyst,Specialist,4,Bangalore,"₹2,20,848/yr"
Cipla,Data Engineer,Manager,1,Mumbai,"₹32,10,511/yr"
Tuple Technologies,Machine Learning Engineer,Specialist,1,New Delhi,"₹6,67,797/yr"
Ankit R Jain & Associates,Data Scientist,Specialist,1,Bangalore,"₹6,00,000/yr"
Quale Infotech,Machine Learning Engineer,Specialist,2,Bangalore,"₹6,65,000/yr"
LTI,Data Analyst,Specialist,2,Mumbai,"₹2,63,304/yr"
IBM,Data Engineer,Specialist,3,Mumbai,"₹10,18,095/yr"
eHaat,Data Analyst,Specialist,1,Hyderabad,"₹3,38,792/yr"
Tata Consultancy Services,Data Scientist,Specialist,2,Bangalore,"₹14,27,832/yr"
HDFC ERGO Health Insurance,Data Scientist,Specialist,1,Bangalore,"₹5,00,000/yr"
Cimpress,Data Analyst,Specialist,1,Mumbai,"₹7,90,515/yr"
yellow.ai,Data Scientist,Specialist,1,Bangalore,"₹4,10,994/yr"
UPL,Data Scientist,Specialist,2,Mumbai,"₹9,91,653/yr"
MAERSK,Data Engineer,Specialist,4,Pune,"₹8,00,848/yr"
Infosys,Machine Learning Engineer,Specialist,1,Hyderabad,"₹7,08,995/yr"
EY,Data Analyst,Manager,5,Bangalore,"₹13,39,779/yr"
Eat Local Eat Natural,Data Scientist,Manager,1,Bangalore,"₹8,48,314/yr"
Robert Bosch India,Data Scientist,Specialist,6,Bangalore,"₹10,40,493/yr"
XYZ,Data Scientist,Specialist,1,Bangalore,"₹26,76,340/yr"
Serco Group,Data Analyst,Specialist,5,Hyderabad,"₹3,70,764/yr"
Apple,Data Engineer,Specialist,1,Hyderabad,"₹14,72,350/yr"
Gallagher,Data Analyst,Specialist,2,Pune,"₹3,27,228/yr"
Vishwakarma Institute of Technology,Data Scientist,Specialist,2,Pune,"₹12,74,440/yr"
Media.net,Data Analyst,Specialist,9,Mumbai,"₹5,28,453/yr"
Ziafa Technologies,Data Scientist,Specialist,1,Bangalore,"₹5,71,859/yr"
IIT Delhi,Machine Learning Engineer,Specialist,1,New Delhi,"₹2,43,936/yr"
Publicis Sapient,Data Scientist,Specialist,2,Bangalore,"₹3,96,600/yr"
ZS Associates,Data Science Consultant,Specialist,5,Pune,"₹26,71,464/yr"
HP Inc.,Data Scientist,Specialist,16,Bangalore,"₹15,10,081/yr"
Scanta,Machine Learning Engineer,Specialist,1,New Delhi,"₹3,22,465/yr"
Octro,Data Scientist,Specialist,4,New Delhi,"₹11,67,179/yr"
Self Opportunity,Machine Learning Engineer,Specialist,1,Hyderabad,"₹3,10,788/yr"
Yogesh Chandra Pant,Data Engineer,Specialist,1,New Delhi,"₹6,18,387/yr"
McKinsey Knowledge Center,Data Analyst,Manager,1,New Delhi,"₹37,94,974/yr"
Aays Analytics,Data Engineer,Specialist,1,Mumbai,"₹8,94,346/yr"
Valiance Solutions,Data Scientist,Specialist,10,New Delhi,"₹8,85,863/yr"
Goldman Sachs,Data Analyst,Specialist,9,Bangalore,"₹14,62,260/yr"
Honeywell,Data Scientist,Specialist,1,Pune,"₹14,38,481/yr"
XYZ Pvt LTD,Data Scientist,Specialist,1,Hyderabad,"₹7,45,896/yr"
Musubi Management,Data Scientist,Specialist,1,Bangalore,"₹8,47,860/yr"
ManKiBaat,Machine Learning Engineer,Specialist,1,New Delhi,"₹1,24,416/yr"
ALBOT,Machine Learning Engineer,Specialist,1,New Delhi,"₹6,00,000/yr"
Legato Health Technologies,Data Engineer,Specialist,2,Bangalore,"₹7,21,501/yr"
Merilytics,Data Scientist,Specialist,1,Hyderabad,"₹8,89,188/yr"
Intelenet,Data Analyst,Specialist,1,Hyderabad,"₹1,96,834/yr"
Larsen & Toubro,Data Analyst,Manager,1,Mumbai,"₹22,69,891/yr"
Tech Mahindra,Data Scientist,Specialist,3,Bangalore,"₹15,00,000/yr"
Shell,Data Scientist,Manager,1,Bangalore,"₹74,81,517/yr"
Mactores,Data Engineer,Specialist,1,Mumbai,"₹1,29,768/yr"
Gartner,Data Engineer,Specialist,1,New Delhi,"₹6,24,717/yr"
Hans Infotech,Data Analyst,Specialist,1,Mumbai,"₹64,488/yr"
Seventh Contact Hiring Solutions,Data Scientist,Specialist,1,Pune,"₹30,08,206/yr"
Fresher,Data Scientist,Specialist,3,Hyderabad,"₹3,02,693/yr"
Dew Solutions,Data Engineer,Specialist,1,New Delhi,"₹14,89,702/yr"
TDL,Data Engineer,Specialist,1,Mumbai,"₹15,11,001/yr"
KPMG,Data Analyst,Specialist,5,Mumbai,"₹4,19,651/yr"
HighRadius,Data Scientist,Manager,1,Hyderabad,"₹24,48,297/yr"
iNeuron,Machine Learning Engineer,Specialist,1,Bangalore,"₹61,080/yr"
Ninestars Information Technologies,Data Scientist,Specialist,1,Bangalore,"₹3,25,000/yr"
MetLife,Data Scientist,Specialist,2,New Delhi,"₹8,41,773/yr"
Joany,Data Engineer,Specialist,1,Hyderabad,"₹2,59,536/yr"
Kaplan,Data Scientist,Specialist,1,Bangalore,"₹19,60,385/yr"
Fresh Gravity,Data Engineer,Specialist,1,Pune,"₹10,74,883/yr"
LUMIQ,Data Engineer,Manager,1,New Delhi,"₹11,22,975/yr"
Metagogy Learning Systems,Machine Learning Engineer,Specialist,1,Hyderabad,"₹2,48,633/yr"
Avalara,Data Analyst,Specialist,1,Pune,"₹4,79,956/yr"
Excelra Knowledge Solutions,Data Scientist,Specialist,2,Hyderabad,"₹4,52,130/yr"
CarDekho,Data Scientist,Specialist,2,New Delhi,"₹13,52,722/yr"
Exa Mobility,Machine Learning Engineer,Specialist,1,Pune,"₹5,76,533/yr"
Innodatatics,Data Scientist,Manager,1,Bangalore,"₹19,48,138/yr"
Fresherworld.com,Data Scientist,Specialist,1,Hyderabad,"₹3,00,000/yr"
Zensar Technologies,Lead Data Scientist,Specialist,1,Pune,"₹15,31,979/yr"
Google Cloud,Data Scientist,Specialist,1,Pune,"₹32,11,608/yr"
ABC,Data Scientist,Specialist,5,New Delhi,"₹7,28,836/yr"
XYZ,Data Scientist,Specialist,1,Bangalore,"₹3,00,000/yr"
Tredence,Data Analyst,Specialist,7,Bangalore,"₹6,50,000/yr"
ValueLabs,Machine Learning Engineer,Specialist,1,Hyderabad,"₹17,62,835/yr"
Ziffytech,Data Engineer,Manager,1,Pune,"₹35,66,394/yr"
Success R Hrtech,Machine Learning Engineer,Specialist,1,Mumbai,"₹1,00,743/yr"
LTI,Machine Learning Engineer,Specialist,1,Mumbai,"₹12,21,714/yr"
SS Supply Chain Solutions,Data Analyst,Manager,1,Pune,"₹16,34,513/yr"
Mactores,Data Engineer,Specialist,5,Mumbai,"₹5,42,342/yr"
Crown Holdings,Data Analyst,Specialist,1,Hyderabad,"₹7,52,418/yr"
Sprinklr,Data Scientist,Specialist,4,New Delhi,"₹18,04,941/yr"
Algo8.ai,Data Scientist,Specialist,1,Bangalore,"₹1,46,564/yr"
BRIDGEi2i,Machine Learning Engineer,Manager,1,Bangalore,"₹6,37,468/yr"
Snap,Data Scientist,Specialist,1,Bangalore,"₹44,98,962/yr"
Axis Bank,Data Scientist,Specialist,2,Pune,"₹27,93,552/yr"
E-Prospects,Data Analyst,Specialist,1,Hyderabad,"₹7,72,984/yr"
IBM,Data Scientist,Specialist,4,Bangalore,"₹3,95,436/yr"
Yash Technologies,Data Scientist,Specialist,1,Pune,"₹20,54,972/yr"
Tata Consultancy Services,Data Engineer,Specialist,1,Mumbai,"₹2,34,362/yr"
Razorpay,Data Analyst,Specialist,2,Bangalore,"₹4,63,374/yr"
Symphony RetailAI,Data Analyst,Specialist,3,Bangalore,"₹6,98,674/yr"
Polestar Solutions & Services India,Data Analyst,Specialist,4,New Delhi,"₹6,04,847/yr"
Manthan,Data Scientist,Manager,1,Bangalore,"₹36,22,017/yr"
Amazon,Data Analyst,Specialist,2,Mumbai,"₹10,02,198/yr"
NTT DATA,Data Engineer,Specialist,1,Pune,"₹4,60,764/yr"
Digihealth,Data Engineer,Specialist,1,Mumbai,"₹2,34,082/yr"
e-Zest Solutions,Data Scientist,Specialist,2,Pune,"₹9,32,104/yr"
Sigmoid,Data Engineer,Manager,1,Bangalore,"₹33,21,477/yr"
BuddhiMed Technologies,Data Scientist,Specialist,1,Bangalore,"₹12,98,412/yr"
Ericsson-Worldwide,Machine Learning Engineer,Manager,1,New Delhi,"₹14,26,704/yr"
R Systems,Machine Learning Engineer,Specialist,2,New Delhi,"₹3,86,952/yr"
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,Specialist,1,Bangalore,"₹6,97,908/yr"
High Peak Software,Data Scientist,Specialist,1,Bangalore,"₹9,00,000/yr"
Chemdiqas R & D,Data Scientist,Specialist,1,Bangalore,"₹6,66,056/yr"
Grroom,Machine Learning Engineer,Specialist,1,Mumbai,"₹4,00,000/yr"
Exzeo,Data Scientist,Specialist,3,New Delhi,"₹8,13,690/yr"
Tata Consultancy Services (North America),Data Engineer,Specialist,1,Mumbai,"₹10,00,000/yr"
Wipro,Data Engineer,Manager,1,Pune,"₹15,41,086/yr"
Citi,Data Engineer,Specialist,1,Bangalore,"₹16,11,735/yr"
Stellar Organisation,Data Analyst,Specialist,1,Mumbai,"₹3,38,792/yr"
Levi Strauss,Data Scientist,Specialist,1,Bangalore,"₹4,72,514/yr"
VINAYA KUMAR,Data Scientist,Manager,1,Bangalore,"₹21,10,137/yr"
Prudential plc,Data Analyst,Specialist,3,Mumbai,"₹12,26,327/yr"
Tech Mahindra,Data Scientist,Specialist,5,New Delhi,"₹10,81,397/yr"
ADP,Data Scientist,Specialist,3,Hyderabad,"₹12,00,000/yr"
Deloitte,Data Analyst,Specialist,29,Hyderabad,"₹6,24,783/yr"
American Express,Data Analyst,Specialist,15,New Delhi,"₹11,34,824/yr"
GlobalLogic,Machine Learning Engineer,Specialist,1,New Delhi,"₹2,49,888/yr"
Opia Labs,Data Scientist,Specialist,1,Bangalore,"₹21,06,848/yr"
Cuelogic Technologies,Data Engineer,Specialist,1,Pune,"₹15,27,142/yr"
Tech Mahindra,Data Analyst,Manager,4,Bangalore,"₹14,02,276/yr"
Happiest Minds Technologies,Data Scientist,Specialist,7,Bangalore,"₹10,50,000/yr"
Stanza Living,Data Analyst,Specialist,3,New Delhi,"₹9,00,000/yr"
Nailbiter,Data Analyst,Specialist,5,Mumbai,"₹3,20,543/yr"
Quadratic Insights,Data Scientist,Specialist,9,Hyderabad,"₹5,83,954/yr"
Endurance International Group,Data Engineer,Manager,1,Mumbai,"₹88,60,981/yr"
HyperWorks Imaging,Data Scientist,Specialist,1,Bangalore,"₹15,55,476/yr"
QuEST Global,Data Engineer,Specialist,1,Bangalore,"₹2,59,536/yr"
Roverside,Data Analyst,Specialist,1,Pune,"₹6,86,743/yr"
Wibmo,Machine Learning Engineer,Specialist,1,Bangalore,"₹15,04,836/yr"
Barclays,Data Analyst,Specialist,10,Pune,"₹8,61,638/yr"
Machintel,Data Analyst,Specialist,4,Pune,"₹2,12,832/yr"
Freshers.com,Junior Data Scientist,Manager,1,Pune,"₹38,18,097/yr"
Amazon,Machine Learning Data Associate II,Specialist,5,Hyderabad,"₹3,83,213/yr"
Housing.com,Data Scientist,Manager,1,New Delhi,"₹36,13,368/yr"
Myntra,Data Analyst,Specialist,41,Bangalore,"₹10,04,884/yr"
Thomson Reuters,Data Scientist,Manager,1,Bangalore,"₹39,47,675/yr"
Pramata,Data Analyst,Specialist,3,Bangalore,"₹3,09,492/yr"
ThinkBumblebee Analytics,Machine Learning Software Engineer,Specialist,1,Pune,"₹13,97,347/yr"
Kagool,Data Engineer,Specialist,1,Hyderabad,"₹3,21,876/yr"
Express Analytics,Data Scientist,Specialist,1,Pune,"₹8,77,015/yr"
FN MathLogic Consulting Services,Data Analyst,Specialist,2,New Delhi,"₹6,68,202/yr"
ADP,Data Scientist,Specialist,2,Pune,"₹6,29,892/yr"
Tata Steel,Data Analyst,Specialist,2,Hyderabad,"₹8,57,580/yr"
Blueocean Market Intelligence,Data Scientist,Specialist,5,Bangalore,"₹7,44,551/yr"
360DigiTMG,Data Scientist,Specialist,1,Bangalore,"₹3,59,620/yr"
Annalect,Data Analyst,Specialist,5,Bangalore,"₹6,81,357/yr"
RMgX,Machine Learning Engineer,Specialist,2,New Delhi,"₹5,50,316/yr"
CENTURYLINK,Data Scientist,Specialist,1,Bangalore,"₹13,99,929/yr"
Red Hat,Senior Data Scientist,Specialist,1,Pune,"₹10,44,003/yr"
ABC Tech,Data Scientist,Specialist,1,Bangalore,"₹7,32,816/yr"
Encore Capital Group,Data Analyst,Specialist,5,New Delhi,"₹6,77,584/yr"
Visteon,Data Scientist,Specialist,1,Pune,"₹24,11,749/yr"
Oracle Financial Group,Data Scientist,Specialist,1,Mumbai,"₹6,10,593/yr"
ShieldSquare,Data Scientist,Specialist,3,Bangalore,"₹7,61,610/yr"
Visual IT Solutions,Machine Learning Engineer,Specialist,1,Hyderabad,"₹3,22,465/yr"
Moneytor,Data Analyst,Specialist,1,Mumbai,"₹3,69,852/yr"
iNeuron Junior,Machine Learning Engineer,Specialist,1,Pune,"₹4,35,108/yr"
Simple Logic IT,Data Engineer,Specialist,1,Mumbai,"₹3,01,464/yr"
Capgemini,Data Analyst,Manager,4,Pune,"₹14,04,285/yr"
McKinsey Knowledge Center,Data Scientist,Specialist,2,New Delhi,"₹18,81,607/yr"
iQuanti,Data Engineer,Specialist,1,Bangalore,"₹4,98,719/yr"
Mu Sigma,Data Engineer,Specialist,5,Bangalore,"₹7,86,846/yr"
Great Learning,Data Scientist,Specialist,4,New Delhi,"₹8,44,078/yr"
XYZ,Data Analyst,Specialist,2,Pune,"₹7,30,679/yr"
Acies,Data Scientist,Specialist,1,Bangalore,"₹4,15,492/yr"
QuantZig,Data Scientist,Specialist,4,Bangalore,"₹11,38,060/yr"
Bitwise,Data Analyst,Specialist,3,Pune,"₹7,63,571/yr"
Mobiotics,Data Engineer,Specialist,1,Bangalore,"₹8,76,076/yr"
Freelancer,Data Engineer,Specialist,2,New Delhi,"₹12,71,011/yr"
Ellicium Solutions Private Limited,Machine Learning Engineer,Specialist,1,Pune,"₹4,22,051/yr"
NCBS,Data Scientist,Specialist,1,Bangalore,"₹4,25,761/yr"
Delhivery,Data Scientist,Specialist,15,New Delhi,"₹12,49,434/yr"
Cognizant Technology Solutions,Machine Learning Engineer,Specialist,1,Bangalore,"₹4,25,000/yr"
DataVal Analytics,Data Scientist,Specialist,2,Bangalore,"₹6,95,052/yr"
Fresh Gravity,Data Engineer,Manager,1,Pune,"₹37,81,690/yr"
Okay.com,Data Scientist,Specialist,1,Bangalore,"₹2,14,107/yr"
Nones,Machine Learning Engineer,Specialist,2,Mumbai,"₹6,22,422/yr"
GlobusSoft,Data Scientist,Specialist,3,Bangalore,"₹3,85,393/yr"
Samsung R&D Institute India - Bangalore,Machine Learning Engineer,Specialist,1,Bangalore,"₹1,85,520/yr"
Hurrey Tech Ventures,Machine Learning Engineer,Specialist,1,Bangalore,"₹1,07,488/yr"
Ugam,Data Analyst,Specialist,16,Bangalore,"₹7,28,836/yr"
The Self Employed Association,Data Scientist,Specialist,1,Bangalore,"₹3,42,781/yr"
ICS Consultancy,Data Engineer,Specialist,1,Mumbai,"₹18,81,045/yr"
Saurav pandey,Data Engineer,Manager,1,New Delhi,"₹28,46,770/yr"
ZS Associates Senior,Data Scientist,Manager,1,Pune,"₹51,03,231/yr"
NS Matrix Services,Data Analyst,Manager,1,New Delhi,"₹10,04,240/yr"
Atlan,Data Scientist,Specialist,2,New Delhi,"₹2,08,344/yr"
Intelenet,Data Analyst,Manager,1,Hyderabad,"₹7,17,244/yr"
American Automobile Association (AAA),Data Engineer,Specialist,1,Mumbai,"₹11,39,568/yr"
UnitedHealth Group,Data Scientist,Specialist,2,Hyderabad,"₹11,52,418/yr"
GNA Serveis Telemàtics,Data Engineer,Specialist,1,New Delhi,"₹5,73,621/yr"
Qwerty Concepts,Data Scientist,Specialist,1,Hyderabad,"₹50,81,882/yr"
Freshers.com,Machine Learning Engineer,Specialist,1,Mumbai,"₹7,35,792/yr"
Artificial Learning Systems,Data Scientist,Specialist,3,Bangalore,"₹11,24,740/yr"
HCL Technologies,Data Engineer,Specialist,1,Pune,"₹30,14,651/yr"
Coupa Software Inc,Data Analyst,Manager,1,Pune,"₹17,49,450/yr"
Persistent Systems,Data Analyst,Specialist,2,Pune,"₹4,68,499/yr"
Daily Ninja,Data Analyst,Specialist,3,Bangalore,"₹3,73,817/yr"
Evarcity,Data Scientist,Specialist,1,Bangalore,"₹3,61,426/yr"
Srijan Technologies,Data Scientist,Manager,1,Bangalore,"₹32,08,046/yr"
Datamatics Global Services,Data Scientist,Specialist,1,Bangalore,"₹3,37,422/yr"
Chakri Technologies,Machine Learning Engineer,Specialist,1,Hyderabad,"₹3,10,014/yr"
Tech9,Data Engineer,Specialist,1,Pune,"₹6,37,252/yr"
Sokrati,Data Analyst,Manager,1,Pune,"₹10,63,382/yr"
Peacock Solar,Data Analyst,Specialist,3,New Delhi,"₹64,488/yr"
Namekart,Data Analyst,Specialist,4,New Delhi,"₹1,80,000/yr"
OYO,Data Analyst,Specialist,3,New Delhi,"₹4,06,548/yr"
Siemens,Data Scientist,Specialist,4,Bangalore,"₹9,87,471/yr"
McKinsey Knowledge Center,Data Analyst,Specialist,5,New Delhi,"₹15,41,071/yr"
Wipro,Data Engineer,Specialist,11,Bangalore,"₹5,29,773/yr"
Synechron,Machine Learning Engineer,Manager,1,Pune,"₹31,27,353/yr"
ICE Mortgage Technology Senior,Machine Learning Engineer,Specialist,1,Pune,"₹24,00,000/yr"
AB Innovative Software,Machine Learning Engineer,Specialist,1,Mumbai,"₹4,26,816/yr"
Cubictree Technology Solutions,Data Analyst,Specialist,1,Pune,"₹3,86,492/yr"
American Express Global Business Travel,Data Analyst,Specialist,2,Bangalore,"₹7,57,692/yr"
TEKsystems,Data Analyst,Manager,1,Bangalore,"₹17,80,168/yr"
GLOBALFOUNDRIES,Data Scientist,Manager,1,Bangalore,"₹28,86,047/yr"
STL - Sterlite Technologies Limited,Data Scientist,Specialist,1,Pune,"₹10,36,984/yr"
Crimson Interactive,Machine Learning Engineer,Specialist,1,Mumbai,"₹7,86,181/yr"
Postman,Data Scientist,Manager,1,Bangalore,"₹46,68,510/yr"
DONE by NONE,Data Engineer,Specialist,4,Bangalore,"₹3,08,220/yr"
Honeywell,Data Analyst,Specialist,3,Pune,"₹3,62,590/yr"
MakeMyTrip,Data Scientist,Specialist,2,New Delhi,"₹14,31,111/yr"
Informatica,Data Analyst,Specialist,1,Hyderabad,"₹5,21,474/yr"
XYZ (Turkey),Data Scientist,Specialist,1,Bangalore,"₹20,09,790/yr"
Strata Decision Technology,Data Analyst,Specialist,1,Pune,"₹6,00,676/yr"
Aktana,Data Scientist,Specialist,1,Pune,"₹18,00,000/yr"
Volkswagen,Data Scientist,Specialist,1,Pune,"₹51,84,922/yr"
Jeet Techno Solutions,Data Analyst,Manager,1,Mumbai,"₹10,61,698/yr"
Amazon,Data Engineer,Manager,1,New Delhi,"₹38,51,988/yr"
Dr. Reddy's,Data Analyst,Specialist,1,Hyderabad,"₹3,36,000/yr"
Satori Group (India),Data Analyst,Specialist,2,Mumbai,"₹2,50,644/yr"
Gramener,Data Scientist,Specialist,1,Hyderabad,"₹1,28,988/yr"
Upwork,Machine Learning Engineer,Specialist,1,New Delhi,"₹4,70,904/yr"
Artificial Brix,Junior Data Scientist,Specialist,1,Pune,"₹6,16,492/yr"
